book_id,author_id
b1527,au1139
b109,au973
b2635,au952
b1585,au225
b3640,au93
b269,au1147
b3975,au1041
b3822,au1480
b2958,au368
b2689,au905
b2689,au373
b3850,au521
b3933,au1188
b2957,au629
b3284,au151
b3490,au541
b2909,au731
b1525,au728
b54,au1390
b1005,au1063
b857,au1243
b978,au1534
b904,au1394
b2026,au132
b3899,au550
b3044,au903
b3355,au380
b1339,au1528
b1935,au50
b3949,au1347
b342,au1188
b3959,au1188
b183,au370
b2738,au47
b720,au356
b1147,au482
b2813,au670
b3434,au76
b1109,au209
b673,au346
b3412,au854
b3626,au1532
b3253,au418
b3514,au956
b3031,au346
b883,au1438
b1601,au784
b2551,au21
b137,au133
b3817,au872
b2141,au697
b2370,au581
b2039,au95
b1754,au1157
b2199,au1517
b3396,au954
b2106,au1034
b3102,au1438
b2250,au595
b3138,au707
b961,au1540
b1778,au1490
b3542,au184
b760,au479
b107,au1342
b3202,au356
b3559,au44
b2949,au565
b2428,au905
b2428,au373
b288,au186
b2987,au370
b2785,au67
b3083,au1278
b136,au400
b3984,au1438
b1965,au1093
b3210,au1515
b1161,au1473
b2885,au509
b1586,au879
b3750,au752
b2355,au591
b2191,au1282
b3423,au457
b2161,au239
b906,au447
b488,au501
b2956,au102
b2311,au312
